id,metadata,first_sentence,moves
15,"Vitman-Schorr, A.a , Iecovich, E.b , Alfasi, N.c  Reliability and Validity of a Hebrew Version of the Kogan's Attitudes Toward Old People Scale (2014) Educational Gerontology, 40 (5), pp. 315-326.",The objective of this study was to evaluate the reliability and validity of the Hebrew version of Kogan's (1961) Attitudes Toward Old People scale.,<2> <3> <4> <4> <4> <4> <4> <4> <4>
16,"Farizo, B.A.a , Louviere, J.J.b , SoliÃ±o, M.c  d  Mixed integration of individual background, attitudes and tastes for landscape management (2014) Land Use Policy, 38, pp. 477-486.",This paper discusses the design and analysis of a choice experiment regarding preferences for possible transformations of a mountain landscape traditionally used for grazing.,<2> <1> <3> <3> <3> <3> <3> <3>
17,"Vanden Abeele, M., Antheunis, M.L., Schouten, A.P. Me, myself and my mobile: A segmentation of youths based on their attitudes towards the mobile phone as a status instrument (2014) Telematics and Informatics, 31 (2), pp. 194-208.",The importance of the mobile phone in the life of adolescents has led observers to speak of a Mobile Youth Culture.,<1> <1> <1> <1> <2> <3> <4> <4> <4> <4> <4>
18,"Smallman, R.a , Becker, B.a , Roese, N.J.b  Preferences for expressing preferences: People prefer finer evaluative distinctions for liked than disliked objects (2014) Journal of Experimental Social Psychology, 52, pp. 25-31.","Past research showed that people draw finer categorical distinctions for liked than disliked objects, such that a wine lover, for example, sees greater detail and nuance among types of wine than does a non-lover.",<1> <1> <1> <1> <3> <4> <4> <5> <5> <5>
19,"Skwarchuk, S.-L.a , Sowinski, C.b , LeFevre, J.-A.c  Formal and informal home learning activities in relation to children's early numeracy and literacy skills: The development of a home numeracy model (2014) Journal of Experimental Child Psychology, 121 (1), pp. 63-84.","The purpose of this study was to propose and test a model of children's home numeracy experience based on S?n?chal and LeFevre's home literacy model (Child Development, 73 (2002) 445-460).",<2> <3> <3> <3> <3> <3> <4> <4> <4> <4> <4>
20,"Barley Kincaid, K., Rose, G.A. Why fishers want a closed area in their fishing grounds: Exploring perceptions and attitudes to sustainable fisheries and conservation 10 years post closure in Labrador, Canada (2014) Marine Policy, 46, pp. 84-90.",The Hawke Box on the Labrador continental shelf has been closed to trawling and gillnetting but open for snow crab (Chionocetes opilio) pot fishing for three months of the year for the past decade.,<1> <1> <3> <4> <4> <4> <4> <4> <4> <4> <4>
21,"Williams, K.J.H.a  b  Public acceptance of plantation forestry: Implications for policy and practice in Australian rural landscape (2014) Land Use Policy, 38, pp. 346-354.","Plantations are expanding in many parts of the world, often accompanied by public debate.",<1> <1> <2> <4> <4> <4> <4> <5> <5> <5>
22,"Park, E., Ohm, J. Factors influencing users' employment of mobile map services (2014) Telematics and Informatics, 31 (2), pp. 253-265.","This study introduces an integrated research model to examine user acceptance of mobile map services, hypothesizing potential causal connections between key cognitive factors and users' intention to use the services.",<2> <2> <3> <4> <4> <4> <5> <5> <5> <5>
23,"NiedziaÅkowski, K.a , Blicharska, M.a  b , MikusiÅski, G.a  c  d , Jedrzejewska, B.a  Why is it difficult to enlarge a protected areaÎ± Ecosystem services perspective on the conflict around the extension of the BiaÅowieÅ¼a National Park in Poland (2014) Land Use Policy, 38, pp. 314-329.",This study explains the difficulties with the enlargement of the Białowie?a National Park in Poland through an ecosystem services perspective.,<2> <3> <4> <4> <4> <4> <4> <4> <4> <4> <4> <4>
24,"Lee, S.Y. Examining the factors that influence early adopters' smartphone adoption: The case of college students (2014) Telematics and Informatics, 31 (2), pp. 308-318.",The influence of early adopters on potential adopters' decisions of whether or not to adopt a product is known to be critical.,<1> <2> <2> <2> <2> <3> <3> <4> <4> <4> <4>
25,"Tuscherer, T., Hugenberg, K. What's love got to do with itÎ± Sexual prejudice predicts unitization of men in same-sex romantic relationships (2014) Journal of Experimental Social Psychology, 52, pp. 9-14.","We hypothesized that perceivers high in sexual prejudice would fail to unitize romantically involved men into a single mental representation, instead of perceiving the men as separate individuals.",<6> <2> <3> <3> <3> <3> <3> <3>
26,"Suominen, A.a , Hyrynsalmi, S.b , Knuutila, T.c  Young mobile users: Radical and individual - Not (2014) Telematics and Informatics, 31 (2), pp. 266-281.",The use of mobile phones by youth has stirred a plethora of research in different fields.,<1> <1> <1> <2> <4> <4> <4> <4> <4>
27,"Hadjigeorgiou, A.a  b , Talias, M.A.c , Soteriades, E.S.d  e , Philalithis, A.a , Psaroulaki, A.f , Gikas, A.g , Tselentis, Y.f  Attitudes and beliefs on the establishment of a national food safety authority in Cyprus. A population-based survey (2014) Appetite, 75, pp. 90-96.","Cyprus does not have a National Food Safety Authority (NFSA), but a multi-level, fragmented system with responsibilities divided among different ministries and governmental agencies, frequently impeding efforts to effectively manage food risks by duplication and overlapping of responsibilities.",<1> <3> <3> <3> <4> <4> <4> <4> <4> <4>
28,"Davison, L.a  b , Littleford, C.b , Ryley, T.b  Air travel attitudes and behaviours: The development of environment-based segments (2014) Journal of Air Transport Management, 36, pp. 13-22.",In an era when the transport sector is increasingly contributing to environmental damage there is a need to better understand the behavioural response of consumers.,<1> <1> <2> <2> <5> <5> <5>
29,"Christina, S.a , Dainty, A.b , Daniels, K.c , Waterson, P.d  How organisational behaviour and attitudes can impact building energy use in the UK retail environment: A theoretical framework (2014) Architectural Engineering and Design Management, 10 (1-2), pp. 164-179.","We investigate attitudes to energy-management tasks within a retail organisation, and reflect on links between organisational structure, staff behaviours and energy-efficient design strategy.",<2> <3> <1> <3> <3> <3> <3> <3> <3> <3> <3> <3> <3> <3> <3> <3> <3> <3> <3> <3> <3> <4> <4> <4> <4> <4> <4> <4>
30,"Liao, M.-Y. An evaluation of an airline cabin safety education program for elementary school children (2014) Evaluation and Program Planning, 43, pp. 27-37.","The knowledge, attitude, and behavior intentions of elementary school students about airline cabin safety before and after they took a specially designed safety education course were examined.",<1> <1> <2> <3> <4> <4> <4> <5> <5> <5>
31,"Lee, Y.a , Lee, J.b  Enhancing pre-service teachers' self-efficacy beliefs for technology integration through lesson planning practice (2014) Computers and Education, 73, pp. 121-128.","The purpose of this study was to identify how pre-service teachers' self-efficacy beliefs for technology integration (SETI) can be improved during the coursework intervention, and which of the course factors (instructional media development skills, knowledge on technology, and lesson planning practice) has the highest impact on the SETI.",<2> <2> <3> <4> <4> <4> <4> <5> <5> <5>
32,"Salvaggio, M., Futrell, R., Batson, C.D., Brents, B.G. Water scarcity in the desert metropolis: how environmental values, knowledge and concern affect Las Vegas residents' support for water conservation policy (2014) Journal of Environmental Planning and Management, 57 (4), pp. 588-611.","This paper examines important associations between environmental values, knowledge, concern and attitudes about water conservation policies in a desert metropolis.",<2> <2> <2> <4> <5> <5> <5>
33,"Gatley, A.a , Caraher, M.b , Lang, T.b  A qualitative, cross cultural examination of attitudes and behaviour in relation to cooking habits in France and Britain (2014) Appetite, 75, pp. 71-81.","Food campaigners, policy makers, journalists and academics continue to debate an alleged decline in home cooking, a corresponding increase in individualised eating habits and the impact of such trends upon public health.",<1> <2> <3> <4> <4> <4> <4> <4>
34,"Herschell, A.D.a , Lindhiem, O.J.a , Kogan, J.N.a  b , Celedonia, K.L.c , Stein, B.D.c  Evaluation of an implementation initiative for embedding Dialectical Behavior Therapy in community settings (2014) Evaluation and Program Planning, 43, pp. 55-63.",We examined the effectiveness of Dialectical Behavior Therapy (DBT) training in community-based agencies.,<2> <2> <2> <3> <4> <4> <4> <4> <4> <5> <5> <5>
35,"Liu, W.a , Denizci Guillet, B.b , Xiao, Q.b , Law, R.b  Globalization or localization of consumer preferences: The case of hotel room booking (2014) Tourism Management, 41, pp. 148-157.",The purpose of this study is to investigate potential differences in attitudes between Chinese and Western tourists towards various hotel room reservation policies.,<2> <2> <3> <3> <4> <4> <4> <5> <5> <5>
36,"Sverdlov, A.a , Aram, D.b , Levin, I.b  Kindergarten teachers' literacy beliefs and self-reported practices: On the heels of a new national literacy curriculum (2014) Teaching and Teacher Education, 39, pp. 44-55.",This study took place six years after the introduction of a national early literacy curriculum in Israel.,<2> <3> <3> <3> <4> <4> <4> <4>
37,"Zopiatis, A.a , Constanti, P.b , Theocharous, A.L.a  Job involvement, commitment, satisfaction and turnover: Evidence from hotel employees in Cyprus (2014) Tourism Management, 41, pp. 129-140.",The study of attitudes at work seeks to enhance organizational knowledge and capabilities in developing an 'ideal' working environment that delivers exceptional customer service.,<2> <3> <4> <4> <4> <4> <5> <5> <5>
38,"Home, R., Balmer, O., Jahrl, I., Stolze, M., Pfiffner, L. Motivations for implementation of ecological compensation areas on swiss lowland farms (2014) Journal of Rural Studies, 34, pp. 26-36.","Swiss farmers receive subsidies for reserving ecological compensation areas on their farms with the aim of encouraging biodiversity, but recent studies have found that the existing system of incentives is insufficient to halt biodiversity loss in the Swiss agricultural landscape.",<1> <1> <2> <3> <4> <4> <5> <5> <5>
39,"Chen, C.a , Liao, J.b , Wen, P.c  Why does formal mentoring matter? The mediating role of psychological safety and the moderating role of power distance orientation in the Chinese context (2014) International Journal of Human Resource Management, 25 (8), pp. 1112-1130.",Formal mentoring programs continue to gain popularity within various organizations due to their positive impact on prot?g?s' career successes.,<1> <1> <1> <4> <4> <4> <4> <5> <5> <5> <5>
40,"Kim, D., Jang, S. Motivational drivers for status consumption: A study of Generation Y consumers (2014) International Journal of Hospitality Management, 38, pp. 39-47.","The younger generation is more open to new concepts of conspicuous products/services, such as luxury restaurants/caf?s, as a means of self-expression or symbols of their desired lifestyle.",<1> <2> <2> <4> <2> <3> <4> <4> <4>
41,"Lindeman, M.a , Heywood, B.b , Riekki, T.a , Makkonen, T.a  Atheists Become Emotionally Aroused When Daring God to Do Terrible Things (2014) International Journal for the Psychology of Religion, 24 (2), pp. 124-132. Cited 1 time.",We examined whether atheists exhibit evidence of emotional arousal when they dare God to cause harm to themselves and their intimates.,<2> <3> <3> <4> <4> <5> <5> <5>
42,"Chuo, H.-Y. Restaurant diners' self-protective behavior in response to an epidemic crisis (2014) International Journal of Hospitality Management, 38, pp. 74-83.","Based on Weinstein's five-stage PAPM, a prospective model and a classification scheme for five corresponding types of self-protective behavior adopters are proposed in this study.",<2> <2> <4> <4> <4> <4>
43,"Sasson, H., Mesch, G. Parental mediation, peer norms and risky online behavior among adolescents (2014) Computers in Human Behavior, 33, pp. 32-38.",Previous studies have shown that parental mediation of adolescents online is associated with the latter's participation in risky behavior online and being a victim of online harassment and bullying.,<1> <1> <3> <3> <3> <4> <4> <4> <4> <5> <5> <5> <5>
44,"Price, J.C., Leviston, Z. Predicting pro-environmental agricultural practices: The social, psychological and contextual influences on land management (2014) Journal of Rural Studies, 34, pp. 65-78.","Pro-environmental agricultural approaches have been developed, but their uptake has not been sufficient to mitigate environmental degradation.",<1> <1> <2> <3> <4> <4> <4> <4> <5> <5> <5> <5>
45,"LiÃ©bana-Cabanillas, F., SÃ¡nchez-FernÃ¡ndez, J., MuÃ±oz-Leiva, F. The moderating effect of experience in the adoption of mobile payment tools in Virtual Social Networks: The m-Payment Acceptance Model in Virtual Social Networks (MPAM-VSN) (2014) International Journal of Information Management, 34 (2), pp. 151-166.","Although mobile-related technologies are widely accepted in today's society, mobile payment in Virtual Social Networks (VSN) is not among the most widely used mobile services.",<1> <2> <2> <2> <2> <4> <5> <5> <5>
46,"Townsend, E.a , Spence, A.a  b , Knowles, S.c  Investigating the operation of the affect heuristic: Is it an associative construct? (2014) Journal of Risk Research, 17 (3), pp. 299-315.","Affect is of central importance in risk perception and risky decision-making, and the affect heuristic is a very influential construct developed in relation to this.",<1> <2> <2> <3> <4> <4> <4> <4> <4> <4> <5> <5> <5> <5> <5>
47,"Gebreegziabher, K.a  b , Tadesse, T.a  c  Risk perception and management in smallholder dairy farming in Tigray, Northern Ethiopia (2014) Journal of Risk Research, 17 (3), pp. 367-381.",Empirical studies on smallholder dairy farmers risk perceptions and management strategies have still received little attention in agricultural research of developing countries.,<1> <2> <3> <3> <4> <4> <4> <4> <4> <4>
48,"DÃ¼ndar, H.a , AkÃ§ayir, M.b  Implementing tablet PCs in schools: Students' attitudes and opinions (2014) Computers in Human Behavior, 32, pp. 40-46.","In this study, the attitudes, expectations and views of 206 students in four high schools within the scope of the FAT?H project in Turkey were assessed regarding tablet PC technology after six months of a pilot plan that included the distribution of tablet PCs to students.",<1> <1> <3> <3> <3> <4> <4> <4> <4> <4> <4> <4>
49,"Van Strien, J.L.H., Brand-Gruwel, S., Boshuizen, H.P.A. Dealing with conflicting information from multiple nonlinear texts: Effects of prior attitudes (2014) Computers in Human Behavior, 32, pp. 101-111.",This study investigated the effects of prior attitudes on how students deal with conflicting information in multiple nonlinear texts.,<2> <2> <2> <4> <4> <4> <4> <4> <4>
50,"Povee, K., Roberts, L.D. Qualitative research in psychology: Attitudes of psychology students and academic staff (2014) Australian Journal of Psychology, 66 (1), pp. 28-37.",Qualitative research is experiencing a resurgence within the field of psychology.,<1> <2> <3> <3> <4> <4> <4> <4> <5> <5> <5>
51,"Hedlund-de Witt, A., de Boer, J., Boersema, J.J. Exploring inner and outer worlds: A quantitative study of worldviews, environmental attitudes, and sustainable lifestyles (2014) Journal of Environmental Psychology, 37, pp. 40-54.",This study generates insight into how environmental attitudes and sustainable lifestyles relate to worldviews.,<2> <2> <3> <3> <4> <4> <5> <5> <5>
52,"Zimmer-Gembeck, M.J., Nesdale, D., Fersterer, J., Wilson, J. An experimental manipulation of rejection: Effects on children's attitudes and mood depend on rejection sensitivity and relationship history (2014) Australian Journal of Psychology, 66 (1), pp. 8-17.","Guided by rejection sensitivity (RS) theory, the objective of this study was to test whether children's RS was associated with elevated negative emotional responses (less positive in-group attitudes and more negative mood) following an episode of overt peer rejection or ambiguous rejection, in comparison to acceptance.",<2> <3> <3> <3> <4> <4> <4> <4> <4>
53,"Kuijer, R.G., Boyce, J.A. Chocolate cake. Guilt or celebration? Associations with healthy eating attitudes, perceived behavioural control, intentions and weight-loss (2014) Appetite, 74, pp. 48-54.","Food and eating are often associated with ambivalent feelings: pleasure and enjoyment, but also worry and guilt.",<1> <1> <2> <2> <4> <4> <4> <4> <5> <5> <5> <5>
54,"Tabak, S.J., Klettke, B. Mock jury attitudes towards credibility, age, and guilt in a fictional child sexual assault scenario (2014) Australian Journal of Psychology, 66 (1), pp. 47-55.",Low conviction rates of child sexual assault (CSA) remain a persistent social problem in Australia.,<1> <1> <2> <3> <4> <4> <4> <5> <5> <5>
55,"Roosma, F.a , van Oorschot, W.b , Gelissen, J.c  The preferred role and perceived performance of the welfare state: European welfare attitudes from a multidimensional perspective (2014) Social Science Research, 44, pp. 200-210.",Welfare state support has two core dimensions: attitudes about what the welfare state should do and beliefs about its actual performance.,<1> <1> <3> <4> <4> <4> <4>
56,"Wang, D., Oppewal, H., Thomas, D. Exploring attitudes and affiliation intentions toward consumers who engage in socially shared superstitious behaviors: A study of students in the east and the west (2014) Psychology and Marketing, 31 (3), pp. 203-213.",Existing literature on superstitious beliefs focuses on consumer purchasing behavior.,<1> <1> <2> <2> <2> <4> <5> <5> <5>
57,"Dimidjian, S.a , Goodman, S.H.b  Preferences and attitudes toward approaches to depression relapse/recurrence prevention among pregnant women (2014) Behaviour Research and Therapy, 54 (1), pp. 7-11.",Patient preferences are increasingly recognized as important in clinical research and the delivery of evidence based practice in psychology.,<1> <1> <1> <3> <3> <4> <5> <5> <5>
58,"Engel, M.T.a , Marchini, S.b , Pont, A.C.a , Machado, R.a  c , Oliveira, L.R.D.a  c  Perceptions and attitudes of stakeholders towards the wildlife refuge of Ilha dos Lobos, a marine protected area in Brazil (2014) Marine Policy, 45, pp. 45-51.","At the north coast of Rio Grande do Sul state, southern Brazilian coast, the Wildlife Refuge of Ilha dos Lobos (29°20'S; 49°43'W), is a full protection area and a seasonal resting refuge for South American sea lions (Otaria flavescens).",<1> <1> <1> <1> <2> <2> <3> <4> <4> <4> <4>
59,"Desimoni, M., Leone, L. Openness to Experience, Honesty-Humility and ideological attitudes: A fine-grained analysis (2014) Personality and Individual Differences, 59, pp. 116-119.",We aimed at replicating and extending recent findings about the relationships between the specific aspects entailed by Honesty-Humility and Openness to Experience and ideological attitudes.,<2> <4> <4> <4> <4> <4> <4>
60,"Grandner, M.A.a , Jackson, N.b , Gooneratne, N.S.b , Patel, N.P.c  The Development of a Questionnaire to Assess Sleep-Related Practices, Beliefs, and Attitudes (2014) Behavioral Sleep Medicine, 12 (2), pp. 123-142.",There are no established questionnaires that evaluate habitual sleep practices in the context of beliefs and attitudes about sleep.,<1> <2> <3> <4> <5> <5> <5>
61,"Li, C. A tale of two social networking sites: How the use of Facebook and Renren influences Chinese consumers' attitudes toward product packages with different cultural symbols (2014) Computers in Human Behavior, 32, pp. 162-170.",Culture influences people's information processing and attitude formation.,<1> <2> <3> <3> <3> <3> <4> <4> <4> <4> <4> <4>
62,"Middleton, A.a , Bragin, E.a , Morley, K.I.b  c , Parker, M.d  Online questionnaire development: Using film to engage participants and then gather attitudes towards the sharing of genomic data (2014) Social Science Research, 44, pp. 211-223.","How can a researcher engage a participant in a survey, when the subject matter may be perceived as 'challenging' or even be totally unfamiliar to the participant?",<1> <2> <2> <3> <3> <3> <4> <4> <4> <4>
63,"Oh, I.-S.a , Guay, R.P.b , Kim, K.c , Harold, C.M.a , Lee, J.-H.d , Heo, C.-G.e , Shin, K.-H.d  Fit happens globally: A meta-analytic comparison of the relationships of person-environment fit dimensions with work attitudes and performance across East Asia, Europe, and North America (2014) Personnel Psychology, 67 (1), pp. 99-152. Cited 1 time.","In this cross-cultural meta-analysis, we examine the relationships between person-environment [P-E] fit and work attitudes (organizational commitment, job satisfaction, and intent to quit) as well as job performance based on 96 studies (110 independent samples) conducted in East Asia, Europe, and North America.",<2> <3> <3> <4> <4> <4> <4> <4> <4> <4> <4>
64,"Ian Glendon, A., McNally, B., Jarvis, A., Chalmers, S.L., Salisbury, R.L. Evaluating a novice driver and pre-driver road safety intervention (2014) Accident Analysis and Prevention, 64, pp. 100-110.",Intervention or evaluation studies represent a small proportion of traffic psychology research.,<1> <2> <3> <3> <4> <4> <5> <5> <5>
65,"MÃ¸ller, M., Haustein, S. Peer influence on speeding behaviour among male drivers aged 18 and 28 (2014) Accident Analysis and Prevention, 64, pp. 92-99.","Despite extensive research, preventive efforts and general improvements in road safety levels, the accident risk of young male drivers remains increased.",<1> <1> <1> <4> <4> <4> <4> <4> <4> <4> <4>
66,"Yu, J.a , Lee, T.J.b  Impact of Tourists' Intercultural Interactions (2014) Journal of Travel Research, 53 (2), pp. 225-238.",This study examines the structure and effects of intercultural interactions between international tourists and local residents.,<2> <2> <4> <4> <4> <5> <5> <5>
67,"Bartikowski, B.a , Singh, N.b  Should all firms adapt websites to international audiences? (2014) Journal of Business Research, 67 (3), pp. 246-252.",The authors investigate the moderating roles of brand equity and purchasing risk in the relationships between website cultural congruity (WCC) and two dependent variables: attitude toward the website (AST) and trust in the e-vendor.,<2> <2> <4> <4> <5> <5> <5>
68,"Siponen, M.a , Adam Mahmood, M.b , Pahnila, S.a  Employees' adherence to information security policies: An exploratory field study (2014) Information and Management, 51 (2), pp. 217-224.",The key threat to information security comes from employees who do not comply with information security policies.,<1> <1> <1> <3> <4> <4> <4> <4> <4> <4>
69,"Krystallis, A., Chrysochou, P. The effects of service brand dimensions on brand loyalty (2014) Journal of Retailing and Consumer Services, 21 (2), pp. 139-147.",The present paper uses a modified version of the Service Brand Verdict (SBV) model.,<1> <2> <3> <4> <4> <4> <4> <4> <4>
70,"Geiger, I.a , Parlamis, J.b  Is there more to email negotiation than email? the role of email affinity (2014) Computers in Human Behavior, 32, pp. 67-78.","Email has profoundly influenced the way we communicate personally and professionally and, for many, email negotiations have become a common, every day experience.",<1> <1> <2> <2> <3> <3> <4> <5> <5> <5> <5>
71,"Fizke, E., Barthel, D., Peters, T., Rakoczy, H. Executive function plays a role in coordinating different perspectives, particularly when one's own perspective is involved (2014) Cognition, 130 (3), pp. 315-334.","While developmental experiments with children and elderly subjects, work with neuropsychological patients and adult experimental studies have consistently found close relations between executive function and theory of mind, the foundation of this relation still remains somewhat unclear.",<1> <1> <1> <2> <4> <4> <4> <4> <4> <4>
72,"Tu, Q.a , Ding, B.a , Yang, X.a , Bai, S.a , Tu, J.b , Liu, X.a , Wang, R.a , Tao, J.a , Jin, H.a , Wang, Y.a , Tang, X.c  The current situation on vascular cognitive impairment after ischemic stroke in Changsha (2014) Archives of Gerontology and Geriatrics, 58 (2), pp. 236-247.",The objectives of the study were to explore the prevalence and effects of vascular cognitive impairment (VCI) among ischemic stroke patients and to provide a basis for prevention and treatment strategies.,<2> <3> <3> <3> <3> <4> <4> <4> <4> <4> <4> <4> <4> <5> <5> <5>
73,"Teng, L.a , Ye, N.b , Yu, Y.c , Wu, X.d  Effects of culturally verbal and visual congruency/incongruency across cultures in a competitive advertising context (2014) Journal of Business Research, 67 (3), pp. 288-294.","Existing consumer behavior theories suggest that consumers tend to recognize, better comprehend, and respond favorably to information that is both relevant and consistent with their beliefs and values.",<1> <2> <3> <4> <4> <4> <4>
74,"McAuliffe, S.a , Potts, J.a , Canessa, R.b , Baily, B.a  Establishing attitudes and perceptions of recreational boat users based in the River Hamble Estuary, UK, towards Marine Conservation Zones (2014) Marine Policy, 45, pp. 98-107.","Research was completed focusing on a population of recreational boat users with moorings on the River Hamble Estuary, United Kingdom.",<1> <1> <1> <1> <4> <3> <3> <4> <4> <5> <5> <5>
75,"Reberte, L.M.a , de Andrade, J.H.C.a , Hoga, L.A.K.a , Rudge, T.b , Rodolpho, J.R.C.a  Men's Perceptions and Attitudes Toward the Partner With Premenstrual Syndrome (2014) American Journal of Men's Health, 8 (2), pp. 137-147.",This study focused on the young adult men's perceptions and behavior toward their women partners who they acknowledged as experiencing the effects of premenstrual syndrome (PMS).,<2> <3> <3> <3> <4> <4> <4> <4> <4>
76,"Pop-Eleches, G.a , Tucker, J.A.b  Communist socialization and post-communist economic and political attitudes (2014) Electoral Studies, 33, pp. 77-89. Cited 2 times.",We investigate the effect of individual exposure to communism on support for democracy and capitalism.,<2> <2> <2> <2> <5> <5> <5>
77,"Allan, L.J.a , Johnson, J.A.b , Emerson, S.D.a  The role of individual difference variables in ageism (2014) Personality and Individual Differences, 59, pp. 32-37.","The aim of this study was to examine the role that personality traits, empathy traits, and gratitude have on ageist attitudes and aging anxiety.",<2> <4> <4> <4> <4> <4> <4>
78,"Mazaheri, E.a , Richard, M.O.a , Laroche, M.b , Ueltschy, L.C.c  The influence of culture, emotions, intangibility, and atmospheric cues on online behavior (2014) Journal of Business Research, 67 (3), pp. 253-259.",This paper examines how emotions and website atmospheric cues influence service tangibility and consumer attitudes.,<2> <2> <4> <4> <4> <4> <4> <4>
79,"KovÃ¡cs, J.a , PÃ¡ntya, J.a , MedvÃ©s, D.a , Hidegkuti, I.a , Heim, O.a , Bursavich, J.B.b  Justifying environmentally significant behavior choices: An American-Hungarian cross-cultural comparison (2014) Journal of Environmental Psychology, 37, pp. 31-39.",This study examined the function held by justification of environmentally harmful behavior in the relationship between environmental attitudes and environmental behavior.,<2> <2> <3> <4> <4> <4> <4> <4> <4>
