id,metadata,first_sentence,moves
21,"Cicchino, J.B., Wells, J.K., McCartt, A.T. Survey About Pedestrian Safety and Attitudes Toward Automated Traffic Enforcement in Washington, D.C (2014) Traffic Injury Prevention, 15 (4), pp. 414-423.","Pedestrians represent more than one third of all traffic deaths in Washington, D.C.",<1> <1> <2> <2> <3> <3> <3> <3> <4> <4> <4> <4> <4> <4> <4> <4> <4> <5> <5> <5>
22,"Barley Kincaid, K., Rose, G.A. Why fishers want a closed area in their fishing grounds: Exploring perceptions and attitudes to sustainable fisheries and conservation 10 years post closure in Labrador, Canada (2014) Marine Policy, 46, pp. 84-90.",The Hawke Box on the Labrador continental shelf has been closed to trawling and gillnetting but open for snow crab (Chionocetes opilio) pot fishing for three months of the year for the past decade.,<1> <1> <2> <4> <4> <4> <4> <5> <5>
23,"Williams, K.J.H.a  b  Public acceptance of plantation forestry: Implications for policy and practice in Australian rural landscape (2014) Land Use Policy, 38, pp. 346-354.","Plantations are expanding in many parts of the world, often accompanied by public debate.",<1> <1> <2> <3> <3> <4> <4> <5>
24,"Park, E., Ohm, J. Factors influencing users' employment of mobile map services (2014) Telematics and Informatics, 31 (2), pp. 253-265.","This study introduces an integrated research model to examine user acceptance of mobile map services, hypothesizing potential causal connections between key cognitive factors and users' intention to use the services.",<1> <2> <3> <4> <4> <5> <5>
25,"NiedziaÅkowski, K.a , Blicharska, M.a  b , MikusiÅski, G.a  c  d , Jedrzejewska, B.a  Why is it difficult to enlarge a protected areaÎ± Ecosystem services perspective on the conflict around the extension of the BiaÅowieÅ¼a National Park in Poland (2014) Land Use Policy, 38, pp. 314-329.",This study explains the difficulties with the enlargement of the Białowie?a National Park in Poland through an ecosystem services perspective.,<1> <2> <3> <4> <4> <4> <6> <5> <5> <5>
26,"Lee, S.Y. Examining the factors that influence early adopters' smartphone adoption: The case of college students (2014) Telematics and Informatics, 31 (2), pp. 308-318.",The influence of early adopters on potential adopters' decisions of whether or not to adopt a product is known to be critical.,<1> <1> <2> <3> <3> <3> <4>
27,"Tuscherer, T., Hugenberg, K. What's love got to do with itÎ± Sexual prejudice predicts unitization of men in same-sex romantic relationships (2014) Journal of Experimental Social Psychology, 52, pp. 9-14.","We hypothesized that perceivers high in sexual prejudice would fail to unitize romantically involved men into a single mental representation, instead of perceiving the men as separate individuals.",<2> <3> <3> <3> <4> <5>
28,"Suominen, A.a , Hyrynsalmi, S.b , Knuutila, T.c  Young mobile users: Radical and individual - Not (2014) Telematics and Informatics, 31 (2), pp. 266-281.",The use of mobile phones by youth has stirred a plethora of research in different fields.,<1> <1> <1> <2> <4> <5>
29,"Hadjigeorgiou, A.a  b , Talias, M.A.c , Soteriades, E.S.d  e , Philalithis, A.a , Psaroulaki, A.f , Gikas, A.g , Tselentis, Y.f  Attitudes and beliefs on the establishment of a national food safety authority in Cyprus. A population-based survey (2014) Appetite, 75, pp. 90-96.","Cyprus does not have a National Food Safety Authority (NFSA), but a multi-level, fragmented system with responsibilities divided among different ministries and governmental agencies, frequently impeding efforts to effectively manage food risks by duplication and overlapping of responsibilities.",<1> <2> <3> <4> <4> <4> <4> <5>
30,"Davison, L.a  b , Littleford, C.b , Ryley, T.b  Air travel attitudes and behaviours: The development of environment-based segments (2014) Journal of Air Transport Management, 36, pp. 13-22.",In an era when the transport sector is increasingly contributing to environmental damage there is a need to better understand the behavioural response of consumers.,<1> <2> <3> <5>
31,"Kidd, D.G., McCartt, A.T. Drivers' Attitudes Toward Front or Rear Child Passenger Belt Use and Seat Belt Reminders at These Seating Positions (2014) Traffic Injury Prevention, 15 (3), pp. 278-286.","Passengers, especially those in rear seating positions, use seat belts less frequently than drivers.",<1> <1> <2> <3> <3> <4> <4> <4> <4> <4> <4> <4> <4> <4> <4> <5> <5> <5>
32,"Christina, S.a , Dainty, A.b , Daniels, K.c , Waterson, P.d  How organisational behaviour and attitudes can impact building energy use in the UK retail environment: A theoretical framework (2014) Architectural Engineering and Design Management, 10 (1-2), pp. 164-179.","We investigate attitudes to energy-management tasks within a retail organisation, and reflect on links between organisational structure, staff behaviours and energy-efficient design strategy.",<1> <2> <3> <4> <4> <4> <4> <4> <4> <4> <4> <4> <4> <4> <4> <4> <4> <4> <4> <4> <4> <4> <4> <5> <1>
33,"Liao, M.-Y. An evaluation of an airline cabin safety education program for elementary school children (2014) Evaluation and Program Planning, 43, pp. 27-37.","The knowledge, attitude, and behavior intentions of elementary school students about airline cabin safety before and after they took a specially designed safety education course were examined.",<1> <2> <3> <3> <4> <4> <4> <4> <5>
34,"Lee, Y.a , Lee, J.b  Enhancing pre-service teachers' self-efficacy beliefs for technology integration through lesson planning practice (2014) Computers and Education, 73, pp. 121-128.","The purpose of this study was to identify how pre-service teachers' self-efficacy beliefs for technology integration (SETI) can be improved during the coursework intervention, and which of the course factors (instructional media development skills, knowledge on technology, and lesson planning practice) has the highest impact on the SETI.",<2> <1> <3> <4> <4> <4> <6> <5>
35,"Salvaggio, M., Futrell, R., Batson, C.D., Brents, B.G. Water scarcity in the desert metropolis: how environmental values, knowledge and concern affect Las Vegas residents' support for water conservation policy (2014) Journal of Environmental Planning and Management, 57 (4), pp. 588-611.","This paper examines important associations between environmental values, knowledge, concern and attitudes about water conservation policies in a desert metropolis.",<1> <2> <3> <4> <5>
36,"Gatley, A.a , Caraher, M.b , Lang, T.b  A qualitative, cross cultural examination of attitudes and behaviour in relation to cooking habits in France and Britain (2014) Appetite, 75, pp. 71-81.","Food campaigners, policy makers, journalists and academics continue to debate an alleged decline in home cooking, a corresponding increase in individualised eating habits and the impact of such trends upon public health.",<1> <2> <3> <4> <4> <4>
37,"Herschell, A.D.a , Lindhiem, O.J.a , Kogan, J.N.a  b , Celedonia, K.L.c , Stein, B.D.c  Evaluation of an implementation initiative for embedding Dialectical Behavior Therapy in community settings (2014) Evaluation and Program Planning, 43, pp. 55-63.",We examined the effectiveness of Dialectical Behavior Therapy (DBT) training in community-based agencies.,<1> <3> <3> <3> <4> <4> <4> <5> <5> <5>
38,"Liu, W.a , Denizci Guillet, B.b , Xiao, Q.b , Law, R.b  Globalization or localization of consumer preferences: The case of hotel room booking (2014) Tourism Management, 41, pp. 148-157.",The purpose of this study is to investigate potential differences in attitudes between Chinese and Western tourists towards various hotel room reservation policies.,<2> <5> <3> <3> <4> <4> <5> <5>
39,"Sverdlov, A.a , Aram, D.b , Levin, I.b  Kindergarten teachers' literacy beliefs and self-reported practices: On the heels of a new national literacy curriculum (2014) Teaching and Teacher Education, 39, pp. 44-55.",This study took place six years after the introduction of a national early literacy curriculum in Israel.,<1> <2> <3> <3> <4> <5>
40,"Zopiatis, A.a , Constanti, P.b , Theocharous, A.L.a  Job involvement, commitment, satisfaction and turnover: Evidence from hotel employees in Cyprus (2014) Tourism Management, 41, pp. 129-140.",The study of attitudes at work seeks to enhance organizational knowledge and capabilities in developing an 'ideal' working environment that delivers exceptional customer service.,<1> <2> <3> <4> <4> <5> <5>
41,"Home, R., Balmer, O., Jahrl, I., Stolze, M., Pfiffner, L. Motivations for implementation of ecological compensation areas on swiss lowland farms (2014) Journal of Rural Studies, 34, pp. 26-36.","Swiss farmers receive subsidies for reserving ecological compensation areas on their farms with the aim of encouraging biodiversity, but recent studies have found that the existing system of incentives is insufficient to halt biodiversity loss in the Swiss agricultural landscape.",<1> <2> <2> <3> <4> <4> <5>
42,"Chen, C.a , Liao, J.b , Wen, P.c  Why does formal mentoring matter? The mediating role of psychological safety and the moderating role of power distance orientation in the Chinese context (2014) International Journal of Human Resource Management, 25 (8), pp. 1112-1130.",Formal mentoring programs continue to gain popularity within various organizations due to their positive impact on prot?g?s' career successes.,<1> <1> <2> <3> <3> <4> <4> <5>
43,"Kim, D., Jang, S. Motivational drivers for status consumption: A study of Generation Y consumers (2014) International Journal of Hospitality Management, 38, pp. 39-47.","The younger generation is more open to new concepts of conspicuous products/services, such as luxury restaurants/cafés, as a means of self-expression or symbols of their desired lifestyle.",<1> <2> <3> <4> <4> <4> <5>
44,"Lindeman, M.a , Heywood, B.b , Riekki, T.a , Makkonen, T.a  Atheists Become Emotionally Aroused When Daring God to Do Terrible Things (2014) International Journal for the Psychology of Religion, 24 (2), pp. 124-132. Cited 1 time.",We examined whether atheists exhibit evidence of emotional arousal when they dare God to cause harm to themselves and their intimates.,<1> <3> <3> <4> <4> <5>
45,"Chuo, H.-Y. Restaurant diners' self-protective behavior in response to an epidemic crisis (2014) International Journal of Hospitality Management, 38, pp. 74-83.",This study is designed to conceptually propose and empirically examine a theoretical model for restaurant diners' self-protective behavior in response to an epidemic crisis.,<2> <1> <3> <4> <4>
46,"Sasson, H., Mesch, G. Parental mediation, peer norms and risky online behavior among adolescents (2014) Computers in Human Behavior, 33, pp. 32-38.",Previous studies have shown that parental mediation of adolescents online is associated with the latter's participation in risky behavior online and being a victim of online harassment and bullying.,<1> <1> <2> <3> <3> <3> <4> <4> <4> <5>
47,"Price, J.C., Leviston, Z. Predicting pro-environmental agricultural practices: The social, psychological and contextual influences on land management (2014) Journal of Rural Studies, 34, pp. 65-78.","Pro-environmental agricultural approaches have been developed, but their uptake has not been sufficient to mitigate environmental degradation.",<1> <1> <2> <3> <3> <4> <4> <4> <5> <5>
48,"LiÃ©bana-Cabanillas, F., SÃ¡nchez-FernÃ¡ndez, J., MuÃ±oz-Leiva, F. The moderating effect of experience in the adoption of mobile payment tools in Virtual Social Networks: The m-Payment Acceptance Model in Virtual Social Networks (MPAM-VSN) (2014) International Journal of Information Management, 34 (2), pp. 151-166.","Although mobile-related technologies are widely accepted in today's society, mobile payment in Virtual Social Networks (VSN) is not among the most widely used mobile services.",<1> <2> <3> <3> <3> <4> <5>
49,"Townsend, E.a , Spence, A.a  b , Knowles, S.c  Investigating the operation of the affect heuristic: Is it an associative construct? (2014) Journal of Risk Research, 17 (3), pp. 299-315.","Affect is of central importance in risk perception and risky decision-making, and the affect heuristic is a very influential construct developed in relation to this.",<1> <2> <3> <3> <3> <4> <4> <4> <5> <5> <5> <5>
50,"Gebreegziabher, K.a  b , Tadesse, T.a  c  Risk perception and management in smallholder dairy farming in Tigray, Northern Ethiopia (2014) Journal of Risk Research, 17 (3), pp. 367-381.",Empirical studies on smallholder dairy farmers risk perceptions and management strategies have still received little attention in agricultural research of developing countries.,<1> <2> <3> <4> <4> <4> <5>
51,"DÃ¼ndar, H.a , AkÃ§ayir, M.b  Implementing tablet PCs in schools: Students' attitudes and opinions (2014) Computers in Human Behavior, 32, pp. 40-46.","In this study, the attitudes, expectations and views of 206 students in four high schools within the scope of the FAT?H project in Turkey were assessed regarding tablet PC technology after six months of a pilot plan that included the distribution of tablet PCs to students.",<1> <2> <3> <3> <3> <4> <4> <4> <5>
52,"Van Strien, J.L.H., Brand-Gruwel, S., Boshuizen, H.P.A. Dealing with conflicting information from multiple nonlinear texts: Effects of prior attitudes (2014) Computers in Human Behavior, 32, pp. 101-111.",This study investigated the effects of prior attitudes on how students deal with conflicting information in multiple nonlinear texts.,<1> <2> <3> <4> <4> <5>
53,"Povee, K., Roberts, L.D. Qualitative research in psychology: Attitudes of psychology students and academic staff (2014) Australian Journal of Psychology, 66 (1), pp. 28-37.",Qualitative research is experiencing a resurgence within the field of psychology.,<1> <2> <3> <3> <4> <4> <4> <4> <5>
54,"Hedlund-de Witt, A., de Boer, J., Boersema, J.J. Exploring inner and outer worlds: A quantitative study of worldviews, environmental attitudes, and sustainable lifestyles (2014) Journal of Environmental Psychology, 37, pp. 40-54.",This study generates insight into how environmental attitudes and sustainable lifestyles relate to worldviews.,<1> <1> <2> <3> <4> <4> <4>
55,"Zimmer-Gembeck, M.J., Nesdale, D., Fersterer, J., Wilson, J. An experimental manipulation of rejection: Effects on children's attitudes and mood depend on rejection sensitivity and relationship history (2014) Australian Journal of Psychology, 66 (1), pp. 8-17.","Guided by rejection sensitivity (RS) theory, the objective of this study was to test whether children's RS was associated with elevated negative emotional responses (less positive in-group attitudes and more negative mood) following an episode of overt peer rejection or ambiguous rejection, in comparison to acceptance.",<1> <2> <3> <4> <4> <4> <5>
56,"Kuijer, R.G., Boyce, J.A. Chocolate cake. Guilt or celebration? Associations with healthy eating attitudes, perceived behavioural control, intentions and weight-loss (2014) Appetite, 74, pp. 48-54.","Food and eating are often associated with ambivalent feelings: pleasure and enjoyment, but also worry and guilt.",<1> <1> <2> <4> <4> <4> <4>
57,"Tabak, S.J., Klettke, B. Mock jury attitudes towards credibility, age, and guilt in a fictional child sexual assault scenario (2014) Australian Journal of Psychology, 66 (1), pp. 47-55.",Low conviction rates of child sexual assault (CSA) remain a persistent social problem in Australia.,<1> <1> <2> <3> <3> <4> <4> <5>
58,"Roosma, F.a , van Oorschot, W.b , Gelissen, J.c  The preferred role and perceived performance of the welfare state: European welfare attitudes from a multidimensional perspective (2014) Social Science Research, 44, pp. 200-210.",Welfare state support has two core dimensions: attitudes about what the welfare state should do and beliefs about its actual performance.,<1> <1> <2> <4> <4>
59,"Thomas, S.J., Caputi, P., Wilson, C.J. Specific Attitudes Which Predict Psychology Students' Intentions to Seek Help for Psychological Distress (2014) Journal of Clinical Psychology, 70 (3), pp. 273-282.","Although many postgraduate psychology programs address students' mental health, there are compelling indications that earlier, undergraduate, interventions may be optimal.",<1> <2> <3> <4> <4> <5> <5>
60,"Park, E.C.a , Waller, G.b , Gannon, K.c  Early improvement in eating attitudes during cognitive behavioural therapy for eating disorders: The impact of personality disorder cognitions (2014) Behavioural and Cognitive Psychotherapy, 42 (2), pp. 224-237.",The personality disorders are commonly comorbid with the eating disorders.,<1> <1> <2> <3> <3> <3> <4> <4> <4> <4> <5>
61,"Wang, D., Oppewal, H., Thomas, D. Exploring attitudes and affiliation intentions toward consumers who engage in socially shared superstitious behaviors: A study of students in the east and the west (2014) Psychology and Marketing, 31 (3), pp. 203-213.",Existing literature on superstitious beliefs focuses on consumer purchasing behavior.,<1> <1> <2> <3> <4> <4> <5>
62,"Dimidjian, S.a , Goodman, S.H.b  Preferences and attitudes toward approaches to depression relapse/recurrence prevention among pregnant women (2014) Behaviour Research and Therapy, 54 (1), pp. 7-11.",Patient preferences are increasingly recognized as important in clinical research and the delivery of evidence based practice in psychology.,<1> <1> <1> <2> <4> <4> <5>
63,"Engel, M.T.a , Marchini, S.b , Pont, A.C.a , Machado, R.a  c , Oliveira, L.R.D.a  c  Perceptions and attitudes of stakeholders towards the wildlife refuge of Ilha dos Lobos, a marine protected area in Brazil (2014) Marine Policy, 45, pp. 45-51.","At the north coast of Rio Grande do Sul state, southern Brazilian coast, the Wildlife Refuge of Ilha dos Lobos (29°20'S; 49°43'W), is a full protection area and a seasonal resting refuge for South American sea lions (Otaria flavescens).",<1> <1> <1> <2> <2> <2> <3> <4> <4>
64,"Desimoni, M., Leone, L. Openness to Experience, Honesty-Humility and ideological attitudes: A fine-grained analysis (2014) Personality and Individual Differences, 59, pp. 116-119.",We aimed at replicating and extending recent findings about the relationships between the specific aspects entailed by Honesty-Humility and Openness to Experience and ideological attitudes.,<2> <3> <4> <3> <4>
65,"Grandner, M.A.a , Jackson, N.b , Gooneratne, N.S.b , Patel, N.P.c  The Development of a Questionnaire to Assess Sleep-Related Practices, Beliefs, and Attitudes (2014) Behavioral Sleep Medicine, 12 (2), pp. 123-142.",There are no established questionnaires that evaluate habitual sleep practices in the context of beliefs and attitudes about sleep.,<1> <2> <3> <4> <5>
66,"Li, C. A tale of two social networking sites: How the use of Facebook and Renren influences Chinese consumers' attitudes toward product packages with different cultural symbols (2014) Computers in Human Behavior, 32, pp. 162-170.",Culture influences people's information processing and attitude formation.,<1> <1> <2> <2> <3> <3> <4> <4> <4> <5>
67,"Middleton, A.a , Bragin, E.a , Morley, K.I.b  c , Parker, M.d  Online questionnaire development: Using film to engage participants and then gather attitudes towards the sharing of genomic data (2014) Social Science Research, 44, pp. 211-223.","How can a researcher engage a participant in a survey, when the subject matter may be perceived as 'challenging' or even be totally unfamiliar to the participant?",<1> <1> <3> <3> <4> <4> <5> <6>
68,"Oh, I.-S.a , Guay, R.P.b , Kim, K.c , Harold, C.M.a , Lee, J.-H.d , Heo, C.-G.e , Shin, K.-H.d  Fit happens globally: A meta-analytic comparison of the relationships of person-environment fit dimensions with work attitudes and performance across East Asia, Europe, and North America (2014) Personnel Psychology, 67 (1), pp. 99-152. Cited 1 time.","In this cross-cultural meta-analysis, we examine the relationships between person-environment [P-E] fit and work attitudes (organizational commitment, job satisfaction, and intent to quit) as well as job performance based on 96 studies (110 independent samples) conducted in East Asia, Europe, and North America.",<1> <2> <4> <4> <5> <5> <5> <4> <4>
69,"Ian Glendon, A., McNally, B., Jarvis, A., Chalmers, S.L., Salisbury, R.L. Evaluating a novice driver and pre-driver road safety intervention (2014) Accident Analysis and Prevention, 64, pp. 100-110.",Intervention or evaluation studies represent a small proportion of traffic psychology research.,<1> <2> <3> <3> <4> <4> <5>
70,"MÃ¸ller, M., Haustein, S. Peer influence on speeding behaviour among male drivers aged 18 and 28 (2014) Accident Analysis and Prevention, 64, pp. 92-99.","Despite extensive research, preventive efforts and general improvements in road safety levels, the accident risk of young male drivers remains increased.",<1> <2> <2> <4> <4> <4> <4> <4> <5>
71,"Yu, J.a , Lee, T.J.b  Impact of Tourists' Intercultural Interactions (2014) Journal of Travel Research, 53 (2), pp. 225-238.",This study examines the structure and effects of intercultural interactions between international tourists and local residents.,<1> <2> <3> <4> <4> <5>
72,"Bartikowski, B.a , Singh, N.b  Should all firms adapt websites to international audiences? (2014) Journal of Business Research, 67 (3), pp. 246-252.",The authors investigate the moderating roles of brand equity and purchasing risk in the relationships between website cultural congruity (WCC) and two dependent variables: attitude toward the website (AST) and trust in the e-vendor.,<1> <2> <4> <4> <5>
73,"Siponen, M.a , Adam Mahmood, M.b , Pahnila, S.a  Employees' adherence to information security policies: An exploratory field study (2014) Information and Management, 51 (2), pp. 217-224.",The key threat to information security comes from employees who do not comply with information security policies.,<1> <2> <1> <3> <4> <4> <5> <5>
74,"Krystallis, A., Chrysochou, P. The effects of service brand dimensions on brand loyalty (2014) Journal of Retailing and Consumer Services, 21 (2), pp. 139-147.",The present paper uses a modified version of the Service Brand Verdict (SBV) model.,<3> <2> <3> <4> <4> <4> <4>
75,"Geiger, I.a , Parlamis, J.b  Is there more to email negotiation than email? the role of email affinity (2014) Computers in Human Behavior, 32, pp. 67-78.","Email has profoundly influenced the way we communicate personally and professionally and, for many, email negotiations have become a common, every day experience.",<1> <1> <2> <2> <3> <3> <4> <5>
76,"Goswami, G.G., Haider, S. Does political risk deter FDI inflow?: An analytical approach using panel data and factor analysis (2014) Journal of Economic Studies, 41 (2), pp. 233-252.","In today's increasingly globalized world, foreign direct investment (FDI) is a hotbed for discussion.",<1> <1> <1> <2> <3> <3> <3> <4> <4> <4> <5> <6>
77,"Fizke, E., Barthel, D., Peters, T., Rakoczy, H. Executive function plays a role in coordinating different perspectives, particularly when one's own perspective is involved (2014) Cognition, 130 (3), pp. 315-334.","While developmental experiments with children and elderly subjects, work with neuropsychological patients and adult experimental studies have consistently found close relations between executive function and theory of mind, the foundation of this relation still remains somewhat unclear.",<1> <2> <2> <3> <4> <4> <4> <5>
78,"Tu, Q.a , Ding, B.a , Yang, X.a , Bai, S.a , Tu, J.b , Liu, X.a , Wang, R.a , Tao, J.a , Jin, H.a , Wang, Y.a , Tang, X.c  The current situation on vascular cognitive impairment after ischemic stroke in Changsha (2014) Archives of Gerontology and Geriatrics, 58 (2), pp. 236-247.",The objectives of the study were to explore the prevalence and effects of vascular cognitive impairment (VCI) among ischemic stroke patients and to provide a basis for prevention and treatment strategies.,<2> <3> <3> <3> <3> <4> <4> <4> <4> <4> <4> <4> <5> <5>
79,"Teng, L.a , Ye, N.b , Yu, Y.c , Wu, X.d  Effects of culturally verbal and visual congruency/incongruency across cultures in a competitive advertising context (2014) Journal of Business Research, 67 (3), pp. 288-294.","Existing consumer behavior theories suggest that consumers tend to recognize, better comprehend, and respond favorably to information that is both relevant and consistent with their beliefs and values.",<1> <2> <3> <4> <4>
80,"McAuliffe, S.a , Potts, J.a , Canessa, R.b , Baily, B.a  Establishing attitudes and perceptions of recreational boat users based in the River Hamble Estuary, UK, towards Marine Conservation Zones (2014) Marine Policy, 45, pp. 98-107.","Research was completed focusing on a population of recreational boat users with moorings on the River Hamble Estuary, United Kingdom.",<1> <1> <3> <5> <4> <1> <4> <5> <5> <5>
81,"Reberte, L.M.a , de Andrade, J.H.C.a , Hoga, L.A.K.a , Rudge, T.b , Rodolpho, J.R.C.a  Men's Perceptions and Attitudes Toward the Partner With Premenstrual Syndrome (2014) American Journal of Men's Health, 8 (2), pp. 137-147.",This study focused on the young adult men's perceptions and behavior toward their women partners who they acknowledged as experiencing the effects of premenstrual syndrome (PMS).,<1> <2> <3> <4> <4> <5> <5>
82,"Pop-Eleches, G.a , Tucker, J.A.b  Communist socialization and post-communist economic and political attitudes (2014) Electoral Studies, 33, pp. 77-89. Cited 2 times.",We investigate the effect of individual exposure to communism on support for democracy and capitalism.,<1> <1> <2> <3> <5>
